Year,Month,Region,Season,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),num_fires,avg_size_ha,dominant_risk
2002,4,Prince George,Spring,6.3,57.0,17.9,11.8,125,14.09316,Moderate
2002,4,Vancouver Island,Spring,6.9,66.7,55.8,11.7,48,1.539413043478261,Low
2002,5,Cariboo,Spring,11.6,56.2,37.0,9.0,128,4.43478125,Moderate
2002,5,Kamloops,Spring,15.2,54.9,21.2,11.5,100,1.1294040404040404,Moderate
2002,5,Okanagan,Spring,18.0,41.5,15.8,12.2,43,5.689558139534884,Moderate
2002,5,Prince George,Spring,10.1,51.0,48.1,10.6,125,14.09316,Moderate
2002,5,Vancouver Island,Spring,11.9,64.9,32.1,11.5,48,1.539413043478261,Low
2002,6,Cariboo,Summer,14.7,58.3,43.5,11.1,210,0.4552904761904762,Low
2002,6,Kamloops,Summer,19.8,35.3,34.4,11.9,752,5.329796542553192,Low
2002,6,Okanagan,Summer,19.8,35.6,19.4,12.6,408,0.3929800995024876,Low
2002,6,Prince George,Summer,15.5,60.7,47.9,10.9,223,18.291572072072075,Moderate
2002,6,Vancouver Island,Summer,14.0,67.4,11.5,9.6,351,0.18613714285714283,Low
2002,7,Cariboo,Summer,19.3,42.4,48.3,5.3,210,0.4552904761904762,Low
2002,7,Kamloops,Summer,24.7,30.4,23.1,8.4,752,5.329796542553192,Low
2002,7,Okanagan,Summer,22.9,32.2,26.0,10.4,408,0.3929800995024876,Low
2002,7,Prince George,Summer,17.6,51.1,71.8,10.0,223,18.291572072072075,Moderate
2002,7,Vancouver Island,Summer,17.8,67.5,18.1,8.1,351,0.18613714285714283,Low
2002,8,Cariboo,Summer,18.8,53.5,42.3,8.4,210,0.4552904761904762,Low
2002,8,Kamloops,Summer,23.7,44.8,16.0,9.0,752,5.329796542553192,Low
2002,8,Okanagan,Summer,23.7,27.2,18.4,9.8,408,0.3929800995024876,Low
2002,8,Prince George,Summer,17.6,56.3,51.0,7.5,223,18.291572072072075,Moderate
2002,8,Vancouver Island,Summer,17.4,66.8,21.7,9.1,351,0.18613714285714283,Low
2002,9,Cariboo,Fall,14.5,60.0,33.1,10.0,55,2.6859090909090906,Extreme
2002,9,Kamloops,Fall,16.4,46.0,14.5,9.3,350,1.8430212765957446,Extreme
2002,9,Okanagan,Fall,16.1,46.8,25.0,10.4,131,0.7731269841269841,Extreme
2002,9,Prince George,Fall,9.3,54.1,67.7,6.8,83,1.0605454545454547,Extreme
2002,9,Vancouver Island,Fall,14.5,73.8,34.1,10.1,210,1.9089891304347828,Extreme
2002,10,Cariboo,Fall,6.8,75.0,54.1,9.5,55,2.6859090909090906,Extreme
2002,10,Kamloops,Fall,6.9,63.9,21.2,11.1,350,1.8430212765957446,Extreme
2002,10,Okanagan,Fall,7.7,68.8,32.3,8.5,131,0.7731269841269841,Extreme
2002,10,Prince George,Fall,3.2,72.9,51.0,9.4,83,1.0605454545454547,Extreme
2002,10,Vancouver Island,Fall,13.8,72.3,55.4,11.7,210,1.9089891304347828,Extreme
2002,11,Cariboo,Fall,-5.9,81.1,64.8,9.7,55,2.6859090909090906,Extreme
2002,11,Kamloops,Fall,-0.6,74.7,40.7,7.2,350,1.8430212765957446,Extreme
2002,11,Okanagan,Fall,3.2,83.5,27.1,8.2,131,0.7731269841269841,Extreme
2002,11,Prince George,Fall,-3.9,79.7,53.2,8.4,83,1.0605454545454547,Extreme
2002,11,Vancouver Island,Fall,5.8,80.7,108.0,10.6,210,1.9089891304347828,Extreme
2002,12,Cariboo,Winter,-9.3,81.5,76.9,6.4,2,0.0545,Low
2002,12,Kamloops,Winter,-3.8,86.2,27.1,9.5,4,0.0545,Low
2002,12,Okanagan,Winter,-6.7,80.8,45.1,8.4,2,0.009,Low
2002,12,Prince George,Winter,-11.1,90.4,63.7,9.1,9,10.85225,Low
2002,12,Vancouver Island,Winter,6.6,87.2,170.0,9.1,6,1.9236,Low
2003,1,Cariboo,Winter,-11.9,84.4,68.2,8.8,1,0.009,Low
2003,1,Kamloops,Winter,-5.1,82.1,26.3,7.5,3,0.13633333333333333,Moderate
2003,1,Prince George,Winter,-11.1,86.7,57.0,6.3,2,7.0045,High
2003,1,Vancouver Island,Winter,2.8,70.6,115.7,12.6,2,15.884719533143599,Extreme
2003,2,Cariboo,Winter,-7.1,80.9,32.3,8.6,1,0.009,Low
2003,2,Kamloops,Winter,-1.7,74.2,23.1,10.3,3,0.13633333333333333,Moderate
2003,2,Prince George,Winter,-7.8,75.4,31.3,9.4,2,7.0045,High
2003,2,Vancouver Island,Winter,6.3,77.1,97.6,10.0,2,15.884719533143599,Extreme
2003,3,Cariboo,Spring,-5.2,69.8,27.3,6.5,76,3.244618421052632,Moderate
2003,3,Kamloops,Spring,2.8,62.9,20.1,9.4,117,1.4267672413793102,Low
2003,3,Okanagan,Spring,4.0,58.0,18.7,8.6,34,4.337147058823529,Moderate
2003,3,Prince George,Spring,-0.9,70.1,29.7,11.6,143,21.009965034965035,Moderate
2003,3,Vancouver Island,Spring,7.6,76.1,48.7,11.9,35,0.22089285714285714,Low
2003,4,Cariboo,Spring,6.1,60.2,32.4,11.2,76,3.244618421052632,Moderate
2003,4,Kamloops,Spring,12.7,53.9,13.7,12.2,117,1.4267672413793102,Low
2003,4,Okanagan,Spring,11.1,44.8,18.4,9.9,34,4.337147058823529,Moderate
2003,4,Prince George,Spring,5.2,70.4,27.8,6.9,143,21.009965034965035,Moderate
2003,4,Vancouver Island,Spring,11.5,66.3,47.9,15.4,35,0.22089285714285714,Low
2003,5,Cariboo,Spring,10.6,51.4,35.5,8.3,76,3.244618421052632,Moderate
2003,5,Kamloops,Spring,13.7,48.1,27.1,9.8,117,1.4267672413793102,Low
2003,5,Okanagan,Spring,14.2,51.2,20.7,9.2,34,4.337147058823529,Moderate
2003,5,Prince George,Spring,11.7,53.5,47.8,10.8,143,21.009965034965035,Moderate
2003,5,Vancouver Island,Spring,13.1,66.6,27.3,11.1,35,0.22089285714285714,Low
2003,6,Cariboo,Summer,15.5,49.0,40.2,9.7,331,102.65434441087615,Low
2003,6,Kamloops,Summer,21.3,41.7,32.6,13.6,890,119.90869438202247,Low
2003,6,Okanagan,Summer,19.1,45.2,33.3,8.6,761,116.40436195508586,Low
2003,6,Prince George,Summer,14.6,47.1,52.7,8.2,308,108.29351623376623,Low
2003,6,Vancouver Island,Summer,16.7,65.8,19.9,10.8,525,0.6571653333333334,Low
2003,7,Cariboo,Summer,19.5,44.8,53.1,7.6,331,102.65434441087615,Low
2003,7,Kamloops,Summer,23.2,31.0,14.8,9.3,890,119.90869438202247,Low
2003,7,Okanagan,Summer,26.5,32.8,23.1,9.3,761,116.40436195508586,Low
2003,7,Prince George,Summer,16.7,52.4,73.4,9.8,308,108.29351623376623,Low
2003,7,Vancouver Island,Summer,20.7,66.8,21.5,9.8,525,0.6571653333333334,Low
2003,8,Cariboo,Summer,18.2,53.3,47.7,8.9,331,102.65434441087615,Low
2003,8,Kamloops,Summer,22.7,37.4,21.1,11.0,890,119.90869438202247,Low
2003,8,Okanagan,Summer,22.7,35.4,19.6,12.2,761,116.40436195508586,Low
2003,8,Prince George,Summer,15.1,53.8,68.2,7.9,308,108.29351623376623,Low
2003,8,Vancouver Island,Summer,20.0,67.1,17.8,10.5,525,0.6571653333333334,Low
