Region,Year,Month,Season,total_burned_area,fire_count,average_fire_size,worst_case_fire_size,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,risk_worst_case_fire_size
Vancouver Island,2018,8.0,Summer,38197.644,185,206.47375135135135,19050.199,19.5,67.2,14.6,8.5,Extreme
Vancouver Island,2018,9.0,Fall,0.536,15,0.03573333333333333,0.5,19.7,69.8,43.6,9.2,Low
Vancouver Island,2018,10.0,Fall,15.945,13,1.2265384615384616,15.0,7.700000000000001,77.3,83.29999999999998,9.900000000000002,Moderate
Vancouver Island,2019,3.0,Spring,2.7009999999999996,4,0.6752499999999999,2.0,9.7,71.3,82.9,8.6,Moderate
Vancouver Island,2019,4.0,Spring,176.584,15,11.772266666666667,91.64,11.3,64.8,44.6,10.8,High
Vancouver Island,2019,5.0,Spring,53.095,19,2.7944736842105264,21.0,15.5,61.5,36.0,10.4,High
Vancouver Island,2019,6.0,Summer,42.063,43,0.9782093023255815,17.3,16.1,64.3,20.8,10.5,High
Vancouver Island,2019,7.0,Summer,37.41,32,1.1690625,30.0,18.7,66.0,18.3,11.4,High
Vancouver Island,2019,8.0,Summer,8.756,29,0.30193103448275865,3.8,20.5,61.8,25.8,8.2,Moderate
Vancouver Island,2019,9.0,Fall,7.224,23,0.3140869565217391,5.0,16.4,73.5,23.5,10.3,Moderate
Vancouver Island,2019,10.0,Fall,1.209,4,0.30225,0.6,10.1,75.0,111.8,9.5,Low
Vancouver Island,2019,11.0,Fall,13.517999999999999,5,2.7036,12.6,5.9,82.3,145.6,10.8,Moderate
Vancouver Island,2020,4.0,Spring,236.188,22,10.735818181818182,203.0,9.6,64.7,36.2,9.2,Extreme
Vancouver Island,2020,5.0,Spring,0.11800000000000001,4,0.029500000000000002,0.1,13.4,58.3,33.2,10.7,Low
Vancouver Island,2020,6.0,Summer,0.162,11,0.014727272727272728,0.09,16.6,62.9,40.4,12.5,Low
Vancouver Island,2020,7.0,Summer,23.836999999999996,35,0.6810571428571427,16.9,17.0,65.9,15.8,8.7,High
Vancouver Island,2020,8.0,Summer,923.3530000000001,48,19.236520833333334,388.0,17.1,67.7,19.0,11.5,Extreme
Vancouver Island,2020,9.0,Fall,3.004,13,0.23107692307692307,2.0,17.1,76.5,31.5,10.900000000000002,Moderate
Vancouver Island,2020,10.0,Fall,0.009,1,0.009,0.009,11.8,76.1,74.4,12.9,Low
